name,n,m,seed_count,shd_mean,shd_var,roc_auc_mean,roc_auc_var
AT,5,4,3,7.485666592915853,0.8000399124794816,0.6769005847953217,0.05662491404432982
AT,6,6,3,11.686000188191732,0.5014560979310166,0.6080206512527147,0.04269820666636059
AT,7,8,3,17.156999905904133,2.706360464157418,0.6219333506927492,0.05639201397145057
AT,8,11,3,20.27799924214681,0.7452090908203294,0.653315836973087,0.015234041038975382
AT,9,14,3,28.650000254313152,2.4249798516696806,0.6026032178605708,0.004210041024408777
AT,10,18,3,35.333333333333336,0.5793810053922547,0.5407965441964907,0.0005383756802148078
AT,11,22,3,43.6369997660319,1.7698724305422122,0.4842112964122533,0.010667095574440056
lggfn,5,4,3,7.441333452860515,0.845952794986791,0.6901913875598086,0.004173407456585497
lggfn,6,6,3,11.651999791463217,0.5876919721680073,0.670858659092113,0.014227694565476724
lggfn,7,8,3,17.151333491007488,2.689266325561524,0.6491111436600159,0.06272608843570611
lggfn,8,11,3,20.288000106811523,0.7307219520116632,0.6196171092550495,0.01168162475194818
lggfn,9,14,3,28.65833282470703,2.3919085835368605,0.5849582096824744,0.004180660269004857
lggfn,10,18,3,35.375,0.636610013214522,0.5012457102987535,0.00413432079212454
lggfn,11,22,3,43.337666829427086,1.0668757889119054,0.586316871149407,0.019755529540706692
